ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
0,18,26700.647565532192,0.04845387999371071,1,52,9802,1672,11422
1,32,26188.28632107897,0.397158781530125,0,45,0,0,-45
2,27,39800.23867534681,0.09958467202869194,1,856,5675,1427,6246
3,73,22142.70389107123,0.1422829315726492,0,162,0,0,-162
4,50,20169.925393172194,0.19249791109766332,0,58,0,0,-58
5,32,37500.78237451316,0.2809436002672801,0,68,0,0,-68
6,65,22457.65326774441,0.10307445713360909,1,457,6128,1385,7056
7,22,27293.339048357015,0.02376389724918106,1,461,6088,1556,7183
8,24,33065.895990172125,0.021373934850609334,1,139,20378,1335,21574
9,54,20653.904250921605,0.1573561374087981,1,488,10216,2670,12398
10,20,50408.93604014446,0.024146827568329785,0,164,0,0,-164
11,42,23481.50805813936,0.16849180033976843,1,236,5822,5819,11405
12,38,206620.31504407653,0.030866612847961977,0,80,0,0,-80
13,25,23604.930524610427,0.15782740092299827,1,60,8628,2033,10601
14,21,21280.966352632444,0.21415478022709855,1,775,52423,1684,53332
15,41,29948.528140025835,0.101920427636058,1,137,11990,1549,13402
16,47,41284.71444023446,0.2261092011101697,1,871,6763,2811,8703
17,64,23291.436233327127,0.23924317533068593,1,155,9816,1383,11044
18,62,36679.22544854158,0.11005646410638628,1,316,5271,1695,6650
19,26,21179.648116153094,0.056511857701950136,0,89,0,0,-89
20,23,40257.76176263438,0.11120853152770119,0,6,0,0,-6
21,22,22215.82835662505,0.10482765972615031,1,589,6433,1343,7187
22,37,29229.313012456714,0.08110269075014592,0,119,0,0,-119
23,64,21685.065765985477,0.3539476340126316,1,2766,15835,1378,14447
24,39,20602.8777093946,0.22864205632724782,1,1864,5400,1536,5072
25,66,27805.16813771226,0.15234858889209332,0,2,0,0,-2
26,20,20147.042360859603,0.09011562020215566,1,1533,5314,2168,5949
27,53,32368.975969164774,0.07090216974282625,1,138,5548,1397,6807
28,45,36902.529619295165,0.2962496957523215,1,1354,7056,7141,12843
29,18,25175.47415041348,0.19493333639515265,1,117,5765,3095,8743
30,35,35827.38634216657,0.12907692475638813,1,261,5255,1463,6457
31,45,80068.42617022767,0.17184138591860254,1,431,6722,1482,7773
32,18,58651.39288921974,0.07584340301412316,1,738,6068,2444,7774
33,21,36883.02490406722,0.1603304811807876,0,92,0,0,-92
34,21,42293.064407076265,0.28205948371480444,1,222,5545,1768,7091
35,41,27491.307742528345,0.08178628843192678,1,422,5408,1553,6539
36,61,21620.148253585554,0.08145976882214716,1,324,12159,1924,13759
37,46,20628.64747556462,0.1691031938193408,0,6,0,0,-6
38,36,24135.039039950974,0.37262755725224783,0,2,0,0,-2
39,29,22953.32072745249,0.20053526695265272,1,537,5782,1506,6751
40,65,22897.730573236535,0.05456433640759143,1,113,6705,1462,8054
41,74,23083.70571116678,0.21997975755384072,1,2368,32074,2278,31984
42,50,24010.619145363846,0.07484998722533875,1,339,10401,1729,11791
43,30,22711.666433495775,0.07697277871324923,1,141,5939,1621,7419
44,21,21907.47128783848,0.003243580933659712,0,81,0,0,-81
45,60,50859.10818033888,0.09232782568033744,0,14,0,0,-14
46,48,27814.40225080984,0.025497836169888374,0,127,0,0,-127
47,49,21314.850687902468,0.0014788907098930693,1,130,6641,1692,8203
48,36,28820.079369827818,0.12256577615184296,1,703,8080,1355,8732
49,33,22541.411936785345,0.005106875723118333,1,285,8775,1599,10089
50,19,23606.435721987906,0.22868117877021,1,113,7682,1707,9276
51,31,26501.870484377767,0.08362218587335798,0,110,0,0,-110
52,27,48402.240234368954,0.18914190532129627,0,53,0,0,-53
53,39,27279.07156601578,0.03560015300354782,1,888,9997,1714,10823
54,69,27121.775295183306,0.0655876606466301,0,12,0,0,-12
55,46,21887.66621552059,0.11303304948237289,0,64,0,0,-64
56,45,20164.59413428008,0.24054722848157994,1,309,7585,2209,9485
57,68,27395.38678319989,0.09873355043652239,1,285,6139,1508,7362
58,33,29432.020017041646,0.05638072967518211,0,204,0,0,-204
