ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
0,1,0,27,0,-27
1,1,0,31,0,-31
2,0,0,151,0,-151
3,0,0,23,0,-23
4,1,0,65,0,-65
5,1,0,73,0,-73
6,1,1,959,1857,898
7,1,1,409,1800,1391
8,1,0,32,0,-32
9,0,0,5,0,-5
10,1,0,15,0,-15
11,0,0,19,0,-19
12,0,0,10,0,-10
13,1,0,9,0,-9
14,1,0,9,0,-9
15,1,0,56,0,-56
16,0,0,9,0,-9
17,1,0,56,0,-56
18,0,0,44,0,-44
19,0,0,17,0,-17
20,1,1,295,1345,1050
21,1,1,567,1229,662
22,1,0,33,0,-33
23,1,1,1210,7951,6741
24,1,1,370,1274,904
25,1,0,9,0,-9
26,0,0,23,0,-23
27,0,0,79,0,-79
28,0,0,2,0,-2
29,0,0,97,0,-97
30,1,0,13,0,-13
31,0,0,20,0,-20
32,0,0,11,0,-11
33,1,0,46,0,-46
34,0,0,116,0,-116
35,0,0,5,0,-5
36,1,1,737,1318,581
37,1,0,4,0,-4
38,0,0,0,0,0
39,0,0,33,0,-33
40,1,1,1213,1227,14
41,0,0,79,0,-79
42,1,1,1189,2299,1110
43,0,0,54,0,-54
44,1,1,600,1607,1007
45,0,0,1,0,-1
46,1,1,107,1998,1891
47,1,0,67,0,-67
48,1,0,33,0,-33
49,1,1,618,1230,612
50,0,0,84,0,-84
51,0,0,10,0,-10
52,1,0,71,0,-71
53,1,1,272,1246,974
54,1,0,77,0,-77
55,0,0,20,0,-20
56,0,0,35,0,-35
57,1,1,547,1310,763
58,0,0,68,0,-68
59,1,0,18,0,-18
60,0,0,91,0,-91
61,1,1,34,2525,2491
62,1,1,369,2299,1930
63,1,0,57,0,-57
64,0,0,136,0,-136
65,1,1,198,1448,1250
66,1,1,2408,1926,-482
67,1,0,19,0,-19
68,1,1,45,2781,2736
69,1,1,658,3318,2660
70,1,0,25,0,-25
71,0,0,17,0,-17
72,1,1,212,2062,1850
73,0,0,2,0,-2
74,0,0,7,0,-7
75,1,0,12,0,-12
76,0,0,70,0,-70
77,1,0,9,0,-9
78,0,0,197,0,-197
79,0,0,17,0,-17
80,1,1,195,1683,1488
81,1,1,241,1624,1383
82,1,1,73,1603,1530
83,0,0,59,0,-59
84,1,0,56,0,-56
85,0,0,90,0,-90
86,0,0,27,0,-27
87,0,0,38,0,-38
88,1,1,922,1293,371
89,1,1,135,1607,1472
90,1,1,215,1274,1059
91,1,1,602,2136,1534
92,0,0,79,0,-79
93,1,0,18,0,-18
94,1,0,17,0,-17
95,0,0,5,0,-5
96,0,0,30,0,-30
97,0,0,13,0,-13
98,0,0,129,0,-129
99,0,0,23,0,-23
100,0,0,63,0,-63
101,1,0,20,0,-20
102,1,1,1053,1399,346
103,1,1,1336,1304,-32
104,1,1,492,1408,916
105,1,1,1545,2771,1226
106,0,0,2,0,-2
107,1,0,74,0,-74
108,1,0,114,0,-114
109,1,0,25,0,-25
110,1,0,109,0,-109
111,0,0,16,0,-16
112,1,0,36,0,-36
113,0,0,108,0,-108
114,0,0,9,0,-9
115,0,0,73,0,-73
116,0,0,23,0,-23
117,1,0,45,0,-45
118,0,0,67,0,-67
119,1,0,36,0,-36
120,0,0,21,0,-21
121,1,1,1109,1224,115
122,1,0,132,0,-132
123,0,0,20,0,-20
124,1,0,56,0,-56
125,0,0,61,0,-61
126,1,0,57,0,-57
127,1,1,107,1202,1095
128,1,0,10,0,-10
129,0,0,2,0,-2
130,1,0,16,0,-16
131,0,0,0,0,0
132,0,0,4,0,-4
133,0,0,71,0,-71
134,1,0,23,0,-23
135,0,0,108,0,-108
136,1,0,59,0,-59
137,1,1,164,1676,1512
138,0,0,27,0,-27
139,1,0,36,0,-36
140,1,0,281,0,-281
141,1,1,1472,1941,469
142,1,0,68,0,-68
143,1,0,124,0,-124
144,1,0,16,0,-16
145,1,0,109,0,-109
146,1,0,37,0,-37
147,0,0,43,0,-43
148,0,0,34,0,-34
149,1,0,9,0,-9
150,1,0,1,0,-1
151,1,1,1865,1292,-573
152,0,0,20,0,-20
153,0,0,19,0,-19
154,1,0,64,0,-64
155,0,0,18,0,-18
156,1,0,13,0,-13
157,0,0,186,0,-186
158,0,0,43,0,-43
159,0,0,166,0,-166
160,0,0,48,0,-48
161,0,0,51,0,-51
162,1,1,387,1313,926
163,1,1,1054,1255,201
164,1,1,695,1922,1227
